"ko","mean_est","shape","rate","method","prop_positive"
"K01224",193.255607726222,2.33411199843084,0.0120778487408112,"gamma_mle",1
"K01226",54.2202271210243,1.33607402616142,0.0240097798722336,"zero_inflated_gamma",0.974358974358974
"K01227",50.9072721999459,1.93478296594857,0.0377623948006526,"zero_inflated_gamma",0.993589743589744
"K01228",4.97684702764384,1.69302602769791,0.128657988140585,"zero_inflated_gamma",0.378205128205128
"K01229",0,-1,-1,"zero",0
"K01230",0.272504854009848,1.09266788401684,0.102813307062004,"zero_inflated_gamma",0.0256410256410256
"K01232",117.340987327217,2.10000463620177,0.0175524339667942,"zero_inflated_gamma",0.980769230769231
"K01233",1.17966095047722,8.8177041841726,0.431237215004224,"zero_inflated_gamma",0.0576923076923077
"K01235",76.9503710616524,1.83775574283034,0.0234230746566948,"zero_inflated_gamma",0.980769230769231
"K01236",2.90465880956179,1.07246963904839,0.0591705070134595,"zero_inflated_gamma",0.16025641025641
"K01238",0,-1,-1,"zero",0
"K01239",282.485683809956,3.13976024784963,0.0111147588277851,"gamma_mle",1
"K01240",5.5402911324839,1.31922237253677,0.0534230731519455,"zero_inflated_gamma",0.224358974358974
"K01241",52.881330226768,1.52874688589968,0.0263146113492682,"zero_inflated_gamma",0.91025641025641
"K01243",589.60699024711,21.5925389140293,0.0366219181101969,"gamma_mle",1
"K01246",168.822904468773,3.5742537947975,0.0211716165294302,"gamma_mle",1
"K01247",119.715314010586,3.19117055715109,0.0264854531087854,"zero_inflated_gamma",0.993589743589744
"K01250",47.3929126352638,1.53187068511563,0.0308723987745443,"zero_inflated_gamma",0.955128205128205
"K01251",191.424525303105,3.13084464955736,0.0163555043148203,"gamma_mle",1
"K01252",3.55588317788499,0.764940021812456,0.0441270890677709,"zero_inflated_gamma",0.205128205128205
"K01253",0,-1,-1,"zero",0
"K01254",0,-1,-1,"zero",0
"K01255",460.069487881956,15.021088989087,0.0326496092106441,"gamma_mle",1
"K01256",113.708244725588,1.73440438421718,0.0152531101715871,"gamma_mle",1
"K01257",0.209825956370435,-1,-1,"mean_only",0.00641025641025641
"K01258",581.853077178733,23.558082801461,0.0404880264889008,"gamma_mle",1
"K01259",113.427007162208,1.75183505701077,0.0153455988009775,"zero_inflated_gamma",0.993589743589744
"K01261",34.3312034449943,1.74049106986411,0.0490721539189677,"zero_inflated_gamma",0.967948717948718
"K01262",799.822877536583,27.81158138088,0.0347721753928049,"gamma_mle",1
"K01264",0.511844700561145,2.59277994763418,0.259772298300403,"zero_inflated_gamma",0.0512820512820513
"K01265",855.556163262642,54.5733724700126,0.0637870134228224,"gamma_mle",1
"K01266",125.04511756223,3.42064497504175,0.0273552861697253,"gamma_mle",1
"K01267",374.604356024791,11.7215758713322,0.0312905487691565,"gamma_mle",1
"K01269",156.039419204927,4.14445003939943,0.0265602759899825,"gamma_mle",1
"K01270",474.758377872413,7.16090659105419,0.0150832653509879,"gamma_mle",1
"K01271",221.200148169069,5.49261063498675,0.0248309536880988,"gamma_mle",1
"K01273",369.921542811816,6.1168358977112,0.0165354952058656,"gamma_mle",1
"K01274",4.0002265557043,1.10708340678626,0.0461258627634295,"zero_inflated_gamma",0.166666666666667
"K01275",0,-1,-1,"zero",0
"K01276",1.7179404190961,3.43989077920642,0.372228785418625,"zero_inflated_gamma",0.185897435897436
"K01277",127.83372913069,2.05562973365327,0.0158743355145661,"zero_inflated_gamma",0.987179487179487
"K01278",411.231827217016,4.11936282001032,0.010017130356587,"gamma_mle",1
"K01279",0,-1,-1,"zero",0
"K01280",0,-1,-1,"zero",0
"K01281",24.6245955453975,1.15920053339262,0.0440572843071882,"zero_inflated_gamma",0.935897435897436
"K01283",0,-1,-1,"zero",0
"K01284",254.827512597215,2.21709948352396,0.00870039290862735,"gamma_mle",1
"K01286",90.3006557977511,3.37558056572431,0.0371419476318805,"zero_inflated_gamma",0.993589743589744
"K01288",0,-1,-1,"zero",0
"K01291",0,-1,-1,"zero",0
"K01293",1.24588989111901,2.61294506473013,0.16132707684905,"zero_inflated_gamma",0.0769230769230769
"K01294",2.21816146730004,2.05303891934614,0.272921191722856,"zero_inflated_gamma",0.294871794871795
"K01295",64.8729388409505,2.12261183719052,0.0316708236626765,"zero_inflated_gamma",0.967948717948718
"K01296",0.560321835351704,1.60766557316906,0.110353170935988,"zero_inflated_gamma",0.0384615384615385
"K01297",113.845361819217,3.19050982002758,0.0280249433885064,"gamma_mle",1
"K01299",175.02565546103,4.7788756668815,0.0273038581360751,"gamma_mle",1
"K01301",10.2838014769536,1.40370525862534,0.100622588351551,"zero_inflated_gamma",0.737179487179487
"K01302",15.3757950612962,1.41314627249408,0.0736435897767608,"zero_inflated_gamma",0.801282051282051
"K01303",94.4078310766907,2.31006708178876,0.0243121670447559,"zero_inflated_gamma",0.993589743589744
"K01304",229.061412023496,2.8898691448852,0.01261613258801,"gamma_mle",1
"K01305",83.9395462144109,2.57191605150974,0.0300508668583817,"zero_inflated_gamma",0.980769230769231
"K01308",153.096757005162,3.58813814259531,0.0234370617169528,"gamma_mle",1
"K01312",0.471764282639233,9.34538939181294,0.253967264838583,"zero_inflated_gamma",0.0128205128205128
"K01318",4.91634765150453,0.924751227192205,0.0144690153801973,"zero_inflated_gamma",0.0769230769230769
"K01322",67.6978780965782,1.24990524116166,0.0183446374243163,"zero_inflated_gamma",0.993589743589744
"K01336",0,-1,-1,"zero",0
"K01337",12.1609053203215,1.24297208119127,0.081899430401694,"zero_inflated_gamma",0.801282051282051
"K01338",751.628380340492,18.2866094378491,0.0243293227293589,"gamma_mle",1
"K01341",1.23467022453959,3.53808627822548,0.495971373120542,"zero_inflated_gamma",0.173076923076923
"K01342",10.9819320098586,1.53851119368898,0.112255421367827,"zero_inflated_gamma",0.801282051282051
"K01347",0,-1,-1,"zero",0
"K01352",0,-1,-1,"zero",0
"K01354",77.7639824399414,1.0514984695748,0.0129149230071349,"zero_inflated_gamma",0.955128205128205
"K01355",0,-1,-1,"zero",0
"K01356",1213.96604278222,13.2346932265273,0.010902029183778,"gamma_mle",1
"K01358",1019.6094607267,31.9730032989231,0.031358088101826,"gamma_mle",1
"K01360",0,-1,-1,"zero",0
"K01361",239.133046240304,1.60381864578529,0.0067068047306754,"gamma_mle",1
"K01363",0.225424655774575,3.62640258364401,0.30936505585113,"zero_inflated_gamma",0.0192307692307692
"K01364",20.1504780537693,0.943460799749733,0.0276122460887565,"zero_inflated_gamma",0.58974358974359
"K01365",13.3304657168816,1.16322552498842,0.0693610546342204,"zero_inflated_gamma",0.794871794871795
"K01366",4.16912173356612,1.30244741030991,0.140180970385666,"zero_inflated_gamma",0.448717948717949
"K01368",0.372038142225227,-1,-1,"mean_only",0.00641025641025641
"K01369",7.73605085878423,1.02850445144193,0.0613613290384401,"zero_inflated_gamma",0.461538461538462
"K01371",10.8929129678161,0.989658559510039,0.049503474160097,"zero_inflated_gamma",0.544871794871795
"K01372",460.711813652732,5.10566065330527,0.0110821135946684,"gamma_mle",1
"K01373",4.30624695435281,0.986160011579404,0.101291487365097,"zero_inflated_gamma",0.442307692307692
"K01379",0,-1,-1,"zero",0
"K01387",0.656870175523545,3.63300839772776,0.319083810074637,"zero_inflated_gamma",0.0576923076923077
"K01390",0,-1,-1,"zero",0
"K01392",0,-1,-1,"zero",0
"K01393",0,-1,-1,"zero",0
"K01394",0.314335069833202,1.6854892768043,0.206233783206941,"zero_inflated_gamma",0.0384615384615385
"K01395",0.245546362952113,3.02797168453375,0.237145539451253,"zero_inflated_gamma",0.0192307692307692
"K01397",0,-1,-1,"zero",0
"K01399",0,-1,-1,"zero",0
"K01400",49.7118547903394,1.64482979952759,0.0318146872934165,"zero_inflated_gamma",0.961538461538462
"K01401",0,-1,-1,"zero",0
"K01402",0,-1,-1,"zero",0
"K01404",0,-1,-1,"zero",0
"K01405",0.133055812035807,8.80069578307828,1.69597150834756,"zero_inflated_gamma",0.0256410256410256
"K01406",1.29264620861636,4.514521760801,0.470139531709339,"zero_inflated_gamma",0.134615384615385
"K01407",2.78187470239119,0.508691228490118,0.0492313081641017,"zero_inflated_gamma",0.269230769230769
"K01408",194.600128280491,5.40992317747129,0.0278002035521456,"gamma_mle",1
"K01409",933.474468445669,45.0319617554175,0.048241235596299,"gamma_mle",1
"K01412",2.09330669944949,1.37594029783068,0.0969103059204047,"zero_inflated_gamma",0.147435897435897
"K01414",23.9331444899879,0.639815651269606,0.0186791451327992,"zero_inflated_gamma",0.698717948717949
"K01415",0.331223092070926,-1,-1,"mean_only",0.00641025641025641
"K01417",0,-1,-1,"zero",0
"K01419",30.7304812185495,1.75120198959158,0.0456617230446151,"zero_inflated_gamma",0.801282051282051
"K01420",302.02275521842,6.49932615294177,0.0215193260793927,"gamma_mle",1
"K01421",866.218291834133,5.65421916474883,0.00652747606238674,"gamma_mle",1
"K01424",596.308990898709,25.9483619986219,0.0435149601878627,"gamma_mle",1
"K01425",125.425264800723,2.12699262026473,0.0167408335748268,"zero_inflated_gamma",0.987179487179487
"K01426",71.0003926621154,1.93032204757781,0.0266646478808835,"zero_inflated_gamma",0.980769230769231
"K01428",61.4851887148855,1.79349649691023,0.028795600844426,"zero_inflated_gamma",0.987179487179487
"K01429",13.2922842000942,1.68122670377918,0.0656730341838754,"zero_inflated_gamma",0.519230769230769
"K01430",34.3927392923779,1.95339243343891,0.0458742186535465,"zero_inflated_gamma",0.807692307692308
"K01431",28.745066030213,0.954072631534629,0.023616552897272,"zero_inflated_gamma",0.711538461538462
"K01432",43.656418951169,1.76799458735376,0.0379019086021626,"zero_inflated_gamma",0.935897435897436
"K01433",28.7872198933085,1.56768561416692,0.0429377972500008,"zero_inflated_gamma",0.788461538461538
"K01434",1.27636747710414,1.39567091110584,0.0210282898107594,"zero_inflated_gamma",0.0192307692307692
"K01436",505.65383931469,11.9693899133836,0.0236711144715239,"gamma_mle",1
"K01438",189.692521627253,3.23530716765351,0.0169462032112133,"zero_inflated_gamma",0.993589743589744
"K01439",588.102995519218,14.5349666044247,0.0247150018196936,"gamma_mle",1
"K01440",0.149221284631328,-1,-1,"mean_only",0.00641025641025641
"K01442",625.486822188894,15.616566292056,0.0249670588381156,"gamma_mle",1
"K01443",656.061671844027,19.815108334353,0.0302031183724811,"gamma_mle",1
"K01444",1.62779343121496,1.05104972474799,0.0289732632805546,"zero_inflated_gamma",0.0448717948717949
"K01446",1.98808173553706,0.991902859515562,0.0159911726713883,"zero_inflated_gamma",0.032051282051282
"K01447",794.599046270278,3.07255438725369,0.00386679848368277,"gamma_mle",1
"K01448",1193.34809990493,19.1443563810433,0.016042558229714,"gamma_mle",1
"K01449",435.721337945322,5.30496672510042,0.012175136407403,"gamma_mle",1
"K01451",55.1197623650297,2.00878489644571,0.0350423125212083,"zero_inflated_gamma",0.961538461538462
"K01452",35.1578835879617,1.5668542370432,0.0414237370634988,"zero_inflated_gamma",0.92948717948718
"K01453",0,-1,-1,"zero",0
"K01455",3.47159100034273,1.14093967478091,0.0653087278314187,"zero_inflated_gamma",0.198717948717949
"K01456",0,-1,-1,"zero",0
"K01457",7.90007896008779,0.999327755379406,0.0502740194494716,"zero_inflated_gamma",0.397435897435897
"K01458",0.497122068998884,3.06776148084887,0.276905759105523,"zero_inflated_gamma",0.0448717948717949
"K01459",0,-1,-1,"zero",0
"K01460",5.66269215929829,0.563629528658454,0.0293497237855955,"zero_inflated_gamma",0.294871794871795
"K01461",0,-1,-1,"zero",0
"K01462",1031.09982827897,24.4663073575206,0.0237283594531848,"gamma_mle",1
"K01463",20.3134765539367,1.35787888423805,0.0492776535260514,"zero_inflated_gamma",0.737179487179487
"K01464",136.922406390977,3.92637033135643,0.0286758788049986,"gamma_mle",1
"K01465",727.971935769937,35.1552111198542,0.0482919868094536,"gamma_mle",1
"K01466",41.1089996739172,0.893158763722647,0.0178269532754598,"zero_inflated_gamma",0.82051282051282
"K01467",18.44329987989,1.53315113670967,0.0676745636453616,"zero_inflated_gamma",0.814102564102564
"K01468",265.70604156766,5.58597658377325,0.0208883810425374,"zero_inflated_gamma",0.993589743589744
"K01469",2.15187838701127,2.69652321584539,0.249013868700711,"zero_inflated_gamma",0.198717948717949
"K01470",118.598372506902,3.42655581958186,0.0287068923983433,"zero_inflated_gamma",0.993589743589744
"K01473",29.5589574944123,1.4461656772495,0.0476703045533436,"zero_inflated_gamma",0.974358974358974
"K01474",4.54965614580072,1.35346347414223,0.0953483915391722,"zero_inflated_gamma",0.320512820512821
"K01476",29.1811467772118,1.75325499519872,0.0496830034244119,"zero_inflated_gamma",0.826923076923077
"K01477",0,-1,-1,"zero",0
"K01478",157.73147090346,1.93769078498014,0.0122059959193749,"zero_inflated_gamma",0.993589743589744
"K01479",13.1413931880855,1.62711278495977,0.0706385305540889,"zero_inflated_gamma",0.57051282051282
"K01480",253.490454748003,4.8193435927938,0.0190119332011328,"gamma_mle",1
"K01482",20.0631276081678,1.33331016292926,0.0536757968846057,"zero_inflated_gamma",0.807692307692308
"K01483",10.4787190703945,1.7714090085908,0.0975278303445332,"zero_inflated_gamma",0.576923076923077
"K01484",2.65724056238929,0.604944024372369,0.0437805259143621,"zero_inflated_gamma",0.192307692307692
"K01485",60.2378907934154,1.539712942676,0.024905140333981,"zero_inflated_gamma",0.974358974358974
"K01486",320.308572413291,10.1114443813533,0.0315678231936502,"gamma_mle",1
"K01487",158.323517148326,5.17095586486484,0.0326606934838392,"gamma_mle",1
"K01488",73.8683317433778,2.68782600037602,0.0361534677106996,"zero_inflated_gamma",0.993589743589744
"K01489",481.628588960176,14.7008360031271,0.0305231797698427,"gamma_mle",1
"K01491",566.838823782639,41.6250784317563,0.0734337111102995,"gamma_mle",1
"K01492",0.233556610780665,3.3923310661051,0.186213628374954,"zero_inflated_gamma",0.0128205128205128
"K01493",642.533459361196,19.9173098974418,0.0309980898383775,"gamma_mle",1
"K01494",129.641047364545,1.37701189768955,0.010349375661399,"zero_inflated_gamma",0.974358974358974
"K01495",366.619208560672,8.07327512444257,0.0220208732546716,"gamma_mle",1
"K01496",169.950902445353,2.08112613219975,0.0121669585175351,"zero_inflated_gamma",0.993589743589744
