"reaction","out_degree","in_degree","abundance"
"R03986",60,60,25.7764849793192
"R03459",1,2,174.058070510095
"R00549",8,4,346.620058619429
"R00161",13,15,325.814031289153
"R02237",5,2,110.416233342378
"R01654",126,122,110.416233342378
"R04241",0,0,110.416233342378
"R00942",16,22,110.416233342378
"R05197",119,118,110.416233342378
"R10666",1,6,36.6185840497385
"R08587",1,1,5.11067675673663
"R08588",0,2,35.9978871367503
"R01181",10,12,0.299029116356794
"R10223",1,1,818.45454549095
"R09399",1,1,9.86074754511154
"R09400",8,1,9.86074754511154
"R01152",7,2,213.568952117427
"R08197",3,7,3.10483819087764
"R01990",3,8,0.183594568845606
"R09076",7,0,0.40804333821394
