"","mmu","rno","hsa","dme","der","dse","osa","dosa","obr","ath","aly","crb","sce","seub","spao","cne","cnb","cng","mja","mfe","mvu","sru","rmr","rmg"
"aly",0.576005916911459,0.575257856963477,0.567010470867321,0.642151605994039,0.64437327869209,0.645204652094264,0.955921176683114,0.90994902989791,0.960171977983214,0.988677199672692,1,0.98130355365083,0.649631503594156,0.646772180277078,0.646878529661679,0.665828932882763,0.665275382337122,0.666198735151142,0.343986071501331,0.339809909135994,0.345141641210135,0.546072180032527,0.557243865361719,0.555293547128768
"crb",0.574796591058479,0.574050101664215,0.565808403756199,0.644524087432645,0.645868612851615,0.647599448459849,0.945786914946118,0.900751172626325,0.946175671209248,0.986249023389763,0.98130355365083,1,0.652192074136005,0.64738320750856,0.649441397100809,0.666457963663471,0.665903890160183,0.666828115296376,0.345666601907528,0.341491462636366,0.346801560174463,0.548597587590952,0.559746469207013,0.557815700958159
"sce",0.569307246060006,0.568567885688229,0.562401752612074,0.656394110601173,0.657976419879299,0.6584458580404,0.656550446755399,0.645823123514853,0.655272219247857,0.644442023065881,0.649631503594156,0.652192074136005,1,0.981980713091148,0.996862443069671,0.814918554583409,0.814830231193722,0.818321129447035,0.390023847329221,0.380068833325841,0.394082163869033,0.55619374578106,0.556500937931923,0.554810602062359
"seub",0.559161585029283,0.558435400846222,0.552315603574612,0.648340913030397,0.651031135843476,0.650212574129931,0.651709444146132,0.64301646283539,0.65134330273339,0.639690300588803,0.646772180277078,0.64738320750856,0.981980713091148,1,0.985090362692695,0.811330829531281,0.81125591086292,0.814783594054864,0.392483164402798,0.382335781941035,0.396684353310529,0.550236063423379,0.550810907508151,0.548922510374273
"spao",0.566665990244535,0.565930060076563,0.559779728978725,0.652917792506519,0.654482805892717,0.654918278527297,0.65378138790302,0.644332612175847,0.652482052008258,0.641724032547964,0.646878529661679,0.649441397100809,0.996862443069671,0.985090362692695,1,0.813421770140819,0.813336173339385,0.816830935003317,0.391005040948486,0.381024982845145,0.395073567105789,0.557592977541304,0.557900942503831,0.556206354210265
"cne",0.595687776843099,0.594914156027278,0.586545293517618,0.684056991766893,0.685821301476933,0.68671767186068,0.671372777934124,0.662865011342298,0.671775241756446,0.658538389876371,0.665828932882763,0.666457963663471,0.814918554583409,0.811330829531281,0.813421770140819,1,0.99805967428713,0.995002929614803,0.369517663237358,0.362630438305687,0.373297532613496,0.590389240690109,0.575800410071773,0.573563284905118
"cnb",0.594343477476093,0.593571602504343,0.585216224666109,0.68241950151349,0.684177909615057,0.68506620896235,0.670814618399144,0.662313924913647,0.671216747624909,0.657990900473254,0.665275382337122,0.665903890160183,0.814830231193722,0.81125591086292,0.813336173339385,0.99805967428713,1,0.995840070175832,0.369210457145812,0.362328958049908,0.371372520915569,0.59050655116969,0.577115849122017,0.574900005986798
"cng",0.593042780710435,0.592272594955976,0.58392196073622,0.683901783507351,0.685664852633041,0.686558052867964,0.671284295484398,0.662745495998089,0.671685115498487,0.658904142967538,0.666198735151142,0.666828115296376,0.818321129447035,0.814783594054864,0.816830935003317,0.995002929614803,0.995840070175832,1,0.368079680973882,0.361182608076564,0.371887958389044,0.587063223177635,0.572526945034319,0.570249679149336
"mja",0.243938234564433,0.243621431528733,0.241746190573735,0.276200616987891,0.27734668256215,0.277639627555669,0.346611957484172,0.341133840755419,0.347329776211479,0.341559017770496,0.343986071501331,0.345666601907528,0.390023847329221,0.392483164402798,0.391005040948486,0.369517663237358,0.369210457145812,0.368079680973882,1,0.971957724307548,0.978011413785627,0.407082666428944,0.443723162248217,0.445840815578451
"mfe",0.244832330052536,0.244514365853374,0.242632251664748,0.277212962288746,0.278363228483956,0.278657247195162,0.343773531216367,0.339488756294384,0.344477350664519,0.337433492016363,0.339809909135994,0.341491462636366,0.380068833325841,0.382335781941035,0.381024982845145,0.362630438305687,0.362328958049908,0.361182608076564,0.971957724307548,1,0.965996136023184,0.413998285961752,0.442682756564446,0.444779303084987
"mvu",0.246837705787799,0.246517137203466,0.244619606970219,0.280344585678454,0.281507846217404,0.281854815879098,0.349119114287996,0.344188104455969,0.349858048859996,0.342680489236717,0.345141641210135,0.346801560174463,0.394082163869033,0.396684353310529,0.395073567105789,0.373297532613496,0.371372520915569,0.371887958389044,0.978011413785627,0.965996136023184,1,0.417402972555861,0.451434335650878,0.453678465700733
"sru",0.444104386064475,0.443527626878182,0.438266360171304,0.517382593492422,0.517173275967291,0.517738228011969,0.553275146246445,0.540454117232828,0.552975573688039,0.542078558167897,0.546072180032527,0.548597587590952,0.55619374578106,0.550236063423379,0.557592977541304,0.590389240690109,0.59050655116969,0.587063223177635,0.407082666428944,0.413998285961752,0.417402972555861,1,0.850135501976051,0.838767446402293
"rmr",0.431232995269847,0.430672952182548,0.425087144370969,0.507063443276523,0.506850419514892,0.507394131279221,0.563487060026713,0.551984866395568,0.563270965480931,0.553094956723635,0.557243865361719,0.559746469207013,0.556500937931923,0.550810907508151,0.557900942503831,0.575800410071773,0.577115849122017,0.572526945034319,0.443723162248217,0.442682756564446,0.451434335650878,0.850135501976051,1,0.982112390931175
"rmg",0.434974762880921,0.434409860353116,0.428770706493572,0.511386345478775,0.511166176571322,0.511707780532025,0.561543389125705,0.549458022623273,0.561292399413835,0.551187131949758,0.555293547128768,0.557815700958159,0.554810602062359,0.548922510374273,0.556206354210265,0.573563284905118,0.574900005986798,0.570249679149336,0.445840815578451,0.444779303084987,0.453678465700733,0.838767446402293,0.982112390931175,1
